title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://abhii14-web-todo-app-web-dpslip.streamlit.app/;1.png
Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://abhii14-weather-forcast-main.streamlit.app/;16.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/abhii14/hotel_menu-webpage;19.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/abhii14/webcam_motion-detector;11.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/abhii14/Student_managment_app;17.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/abhii14/pdf_template.git;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/abhii14/pdf_invoices.git;4.png
News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://github.com/abhii14/news-api;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/abhii14/weather-api;6.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/abhii14/web_scrapping;8.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://pythonhow.com;9.png
Job Application form;An application form made using django which sends mail.;https://github.com/abhii14/django-application-form;img.png
Hotel Booking app;An object oriented programming project which is created with class instances.;https://github.com/abhii14/Hotel_booking_app;d.png
